,author,stars,title,body,date,Class
0,saddam hussain,2.0 out of 5 stars,Money waste product,camera and fingerprint is no good..,30-Apr-19,Fingerprint
1,ArshuArshz,5.0 out of 5 stars,Giud phone,"Nic ,awesome",30-Apr-19,Value for money
2,Manish K.,3.0 out of 5 stars,Speakers not working properly,Not satisfactory... In bottom two speakers only one is working and also there is a scratch mark in newly unbox phone on screen protector . Please do something for that.,30-Apr-19,Sound Quality
3,Narahari Bijjala,5.0 out of 5 stars,Excellent performance,Excellent performance,30-Apr-19,Value for money
4,Mohammed Safwan,5.0 out of 5 stars,Good,Heating is a problem,30-Apr-19,Battery life
5,Devanshu Gupta,1.0 out of 5 stars,lucha PHONE,GHATIYA,30-Apr-19,Not good
6,marut j.,5.0 out of 5 stars,Very satisfied,"I loved it,very satisfied worth value",30-Apr-19,Value for money
7,Kushal brvinakqtti,4.0 out of 5 stars,Best cell phone,One plus 6t is best phone but there are sum issue in it lyk finger lock itz take 2 sec to open the lock n have to try mre den 2 tyms n abt face lock it is just ossum itz lock opens in with in seconds so I gave 5 star to face lock but poor finger lock....n camera and battery back up is also gud over all gud,30-Apr-19,Fingerprint
8,altaf,5.0 out of 5 stars,Ek no,Superb,30-Apr-19,Value for money
9,Lokam taju,5.0 out of 5 stars,Love it,This is my first OnePlus deviceAnd it's nice to use,30-Apr-19,Value for money
0,Arun Singh,5.0 out of 5 stars,Amazing phone,"Fingerprint sensor is a bit finicky, refuses to unlock phone occasionally, rest all is amazing",30-Apr-19,Fingerprint
1,Kirit Dedhia,2.0 out of 5 stars,For the first time in my life got such issues,"I am a Samsung user and it was always smooth to use. Never faced any issues/error.Recently I bought Oneplus 6T from amazon. The over all phone is good. The best is sound quality and space on phone-128 gb. However, I encountered an error - Error - can't hold calls and all outgoing calls were not possible. When I read on the net , got to know how to resolve this error. Earlier also I got some other error. I wish I had not switched to this brand and would have continued using Samsung or could have taken Iphone.",30-Apr-19,Sound Quality
2,Bhavik Patel,5.0 out of 5 stars,Best phone ever,best phone my 1st one plus mobile,30-Apr-19,Value for money
3,Milind patel,4.0 out of 5 stars,Finger print reader is not proper.,Finger print reader is not proper.,30-Apr-19,Fingerprint
4,NANDHAKUMAR R,5.0 out of 5 stars,Thanks so much,I like this mobile excellent speed and looking smart,30-Apr-19,Value for money
5,KARTHIK,5.0 out of 5 stars,Speed Master,It is super speed.But the fingerprint reader on display it is little slow than a hard touch one.,30-Apr-19,Fingerprint
6,Chinmay pattanaik,5.0 out of 5 stars,Best smartphone,OnePlus 6T is the best value for money smartphone in the premium smartphone range. There cannot and should not be a question about this. Whether one should buy it or not is a different question altogether!! Every one plus phone is worth buying. My mom is still using One plus one base variant of 1 GB ram and 16GB memory. It is still working fine without any lags then think about the 6T,30-Apr-19,Value for money
7,YUVARAJ,5.0 out of 5 stars,Good,Very nice to handle and backup with speed awesome,30-Apr-19,Value for money
8,MURALIDHARAN S.,5.0 out of 5 stars,Experience speed like never before,"Flagship killer ,one of the best smartphones ever made.",30-Apr-19,Value for money
9,Amazon Customer,1.0 out of 5 stars,Chines Phone,Plz dont buy this phone,30-Apr-19,Not good
0,pratik s.,5.0 out of 5 stars,perfect,perfect,29-Apr-19,Value for money
1,Ayush S.,4.0 out of 5 stars,Fingerprint,"finger print is slow and do not recognize sometimes, other all things are perfect at this price.",29-Apr-19,Fingerprint
2,Suresh,4.0 out of 5 stars,Working as expected,Working as expected,29-Apr-19,Value for money
3,Rana Hazarika,5.0 out of 5 stars,Price High not affordable economy class people..,Too much high price there is no business in India but a economic 20000/- people's think and buy about it?100%+++profit less profit high volume sail=+++profit××$¥€=100%,29-Apr-19,Not good
4,Nagaraja rao,1.0 out of 5 stars,Defective product delivered,Delivered defective product. Sim slot 1 doesn't work and return date expired within 2 weeks before we could understand the defect,29-Apr-19,Not good
5,Amazon Customer,3.0 out of 5 stars,Better,Nice,29-Apr-19,Value for money
6,Amazon Customer,4.0 out of 5 stars,Best in the class,Truly the benchmark phone with cutting edge technology and performance. Fingerprint is little slow but over all a very nice product.,29-Apr-19,Fingerprint
7,Amazon Customer,5.0 out of 5 stars,Orange race mobile,Got McLaren edition as birthday gift from my friends...Too fast and facial recognition works like a charm...Very good battery life,29-Apr-19,Battery life
8,Nikita kamath,5.0 out of 5 stars,Awesome product from OnePlus as well as Amazon delivery 😍,Likes- 1)Battery life is awesome 2)Camera quality - clearity 3) Mirror black is just awesome 4) Fast finger print and facelock,29-Apr-19,Value for money
9,Mulayam yadav,5.0 out of 5 stars,profile photo of the day of the day,nice wow that is what have a great weekend so you know that you will find herewith attached my updated,29-Apr-19,Value for money
0,Rohit,5.0 out of 5 stars,Fastest phone still in 2019,"Brought it from local store at same price 37999/- 8gb 128gb,*Really like -speed snapdragon 845touch sensitivity,daylight photos,animation,fast charging technology,Premium look,Oxygen os.*Don't likeFingerprint sometimes don't recognize,battery discharging is too fast,but it is negligible bcuz fast charger gives you 50-100% in less than 35 min,Lowlight photos should be improve, photos get blurred sometimes.Although its have glass back but putting cover it looks like a standard phone.",29-Apr-19,Fingerprint
1,Abhi,5.0 out of 5 stars,Overall phone is good,"Pros: Good camera ,Long lasting battery,Phone performance is good,overall the phone is good.Cons: Headphone jack but still its okay because they provide type c cable which helps to connect normal earphones to itHonestly speaking the phone is good I would suggest go for it ..Its worth the price",29-Apr-19,Value for money
2,adarsh chawla,5.0 out of 5 stars,Awesome,Worth your money. Won't regret buying this phone. Everything is excellent. No compromises. Great performance and battery life. Go for it without worries.,29-Apr-19,Value for money
3,ashok k.,1.0 out of 5 stars,Wait n See,Confused. Cancelled purchase can't opine. Lot many players have crooped up in this field. Choice is difficult and prices are high.,29-Apr-19,Not good
4,Amarnath M.,5.0 out of 5 stars,Superb Phone - Must buy,Overall its a super phone and you must buy without second thought.,29-Apr-19,Value for money
5,SSS,5.0 out of 5 stars,Review,Good,29-Apr-19,Value for money
6,udita puri,5.0 out of 5 stars,Must buy n amazing camera,"Total value for money, amazing camera",29-Apr-19,Picture Quality
7,Santhosh D,4.0 out of 5 stars,A good all round phone with a decent camera,"Everything is good, only camera not upto the expectation but video recording is good.",29-Apr-19,Picture Quality
8,Amazon Customer,5.0 out of 5 stars,Beaat Android phone,Beast phone. Using for past 3 months. Haven't encountered any issue. If you want a premium experience in Android phone then go for this one,29-Apr-19,Value for money
9,Rahim M,3.0 out of 5 stars,Complaint,The phone is now black and white. No colourWhere I can repair,29-Apr-19,Not good
0,Uday Shankar Kumar,5.0 out of 5 stars,Good phone,Fingerprint reader is very slow,22-Apr-19,Fingerprint
1,Mandaar Giri,5.0 out of 5 stars,Best Android Phone in this price range,one word. beast.,22-Apr-19,Value for money
2,Raiyan,5.0 out of 5 stars,best android phone over 30thousand,Amazing user experience and fastest android phone.,22-Apr-19,
3,Abhi,5.0 out of 5 stars,Fast and smooth,Phone is pretty fast but it lags the fingerprint sometimes since it is under display finger print sensor.,22-Apr-19,
4,Aman Sangra,4.0 out of 5 stars,sound issues,"sound issues, contact me for more details",22-Apr-19,
