,Unnamed: 0,Unnamed: 0.1,author,stars,title,body,date,Class,Sentiment_score,Sentiment
0,0,0.0,saddam hussain,2.0 out of 5 stars,Money waste product,camera fingerprint good,30-Apr-19,Fingerprint,0.408,pos
1,1,1.0,ArshuArshz,5.0 out of 5 stars,Giud phone,nic awesome,30-Apr-19,Value for money,0.196,pos
2,2,2.0,Manish K.,3.0 out of 5 stars,Speakers not working properly,satisfactory bottom two speakers one working also scratch mark newly unbox phone screen protector please something,30-Apr-19,Sound Quality,0.745,neu
3,3,3.0,Narahari Bijjala,5.0 out of 5 stars,Excellent performance,excellent performance,30-Apr-19,Value for money,0.213,pos
4,4,4.0,Mohammed Safwan,5.0 out of 5 stars,Good,heating problem,30-Apr-19,Battery life,0.27,neg
5,5,5.0,Devanshu Gupta,1.0 out of 5 stars,lucha PHONE,ghatiya,30-Apr-19,Not good,1.0,neu
6,6,6.0,marut j.,5.0 out of 5 stars,Very satisfied,loved satisfied worth value,30-Apr-19,Value for money,0.0,pos
7,7,7.0,Kushal brvinakqtti,4.0 out of 5 stars,Best cell phone,one plus 6t best phone sum issue lyk finger lock itz take 2 sec open lock n try mre den 2 tyms n abt face lock ossum itz lock opens seconds gave 5 star face lock poor finger lockn camera battery back also gud gud,30-Apr-19,Fingerprint,0.839,neu
8,8,8.0,altaf,5.0 out of 5 stars,Ek no,superb,30-Apr-19,Value for money,0.0,pos
9,9,9.0,Lokam taju,5.0 out of 5 stars,Love it,first oneplus deviceand nice use,30-Apr-19,Value for money,0.588,neu
10,10,0.0,Arun Singh,5.0 out of 5 stars,Amazing phone,fingerprint sensor bit finicky refuses unlock phone occasionally rest amazing,30-Apr-19,Fingerprint,0.719,neu
11,11,1.0,Kirit Dedhia,2.0 out of 5 stars,For the first time in my life got such issues,samsung user always smooth use never faced issues errorrecently bought oneplus 6t amazon phone good best sound quality space phone128 gb however encountered error error cant hold calls outgoing calls possible read net got know resolve error earlier also got error wish switched brand would continued using samsung could taken iphone,30-Apr-19,Sound Quality,0.605,neu
12,12,2.0,Bhavik Patel,5.0 out of 5 stars,Best phone ever,best phone 1st one plus mobile,30-Apr-19,Value for money,0.543,compound
13,13,3.0,Milind patel,4.0 out of 5 stars,Finger print reader is not proper.,finger print reader proper,30-Apr-19,Fingerprint,1.0,neu
14,14,4.0,NANDHAKUMAR R,5.0 out of 5 stars,Thanks so much,like mobile excellent speed looking smart,30-Apr-19,Value for money,0.252,compound
